"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"22-Oct-2020","    11645.85","    11645.85","    11316.35","    11545.30","       42742446","         5312.14"
"23-Oct-2020","    11573.15","    11681.25","    11473.45","    11503.05","       36151682","         3525.44"
"26-Oct-2020","    11564.50","    11578.75","    11263.80","    11334.20","       36284291","         3175.65"
"27-Oct-2020","    11350.55","    11539.05","    11284.70","    11511.50","       34131934","         3598.39"
"28-Oct-2020","    11531.70","    11625.95","    11295.45","    11325.10","       31294626","         4052.68"
"29-Oct-2020","    11284.10","    11394.75","    11174.10","    11226.00","       27524738","         2960.86"
"30-Oct-2020","    11267.65","    11301.95","    11135.15","    11243.75","       27263588","         2633.27"
"02-Nov-2020","    11256.25","    11281.60","    11096.25","    11175.30","       23977624","         2205.62"
"03-Nov-2020","    11214.60","    11400.85","    11204.05","    11361.00","       65526075","         4344.00"
"04-Nov-2020","    11456.75","    11681.00","    11430.65","    11608.65","       77393024","         5569.24"
"05-Nov-2020","    11677.40","    11721.85","    11595.70","    11704.95","       39483404","         3291.36"
"06-Nov-2020","    11735.50","    11753.45","    11596.70","    11623.35","       33096212","         3046.36"
"09-Nov-2020","    11803.55","    11809.55","    11567.55","    11674.35","       57052246","         6348.43"
"10-Nov-2020","    11670.25","    11673.70","    11136.65","    11168.90","       64602238","         5734.56"
"11-Nov-2020","    11274.05","    11601.70","    11224.40","    11570.35","       61256937","         5890.37"
"12-Nov-2020","    11548.70","    11788.10","    11494.55","    11600.80","       63230335","         5375.11"
"13-Nov-2020","    11640.50","    11744.75","    11619.85","    11726.45","       39244561","         3559.81"
"14-Nov-2020","    11795.25","    11804.95","    11754.15","    11772.45","        4537061","          388.59"
"17-Nov-2020","    11816.60","    11837.30","    11633.05","    11690.80","       39655716","         3747.40"
"18-Nov-2020","    11688.50","    11708.15","    11523.25","    11612.95","       29463691","         2797.14"
"19-Nov-2020","    11581.55","    11741.35","    11539.55","    11566.60","       28528990","         3003.92"
"20-Nov-2020","    11600.85","    11670.10","    11454.80","    11526.75","       26918393","         2444.75"
"23-Nov-2020","    11569.70","    11835.65","    11525.40","    11737.20","       41520335","         4298.34"
"24-Nov-2020","    11808.90","    11912.35","    11680.00","    11880.80","       37391517","         3721.45"
"25-Nov-2020","    11977.75","    12012.45","    11600.75","    11635.20","       38065237","         3817.06"
"26-Nov-2020","    11665.15","    11834.95","    11604.65","    11801.25","       29269804","         2924.92"
"27-Nov-2020","    11840.40","    11976.10","    11792.35","    11839.15","       79016979","         7297.92"
"01-Dec-2020","    12021.00","    12085.95","    11875.60","    12045.15","       51369079","         4230.09"
"02-Dec-2020","    12073.35","    12137.65","    11986.55","    12088.60","       31968479","         2832.73"
"03-Dec-2020","    12151.55","    12232.10","    12083.10","    12206.95","       26527038","         2423.21"
"04-Dec-2020","    12248.55","    12393.55","    12131.90","    12353.60","       45529442","         3828.74"
"07-Dec-2020","    12376.45","    12636.90","    12314.80","    12555.95","       52173638","         4900.33"
"08-Dec-2020","    12588.80","    12621.60","    12327.55","    12407.30","       33751591","         3104.73"
"09-Dec-2020","    12463.55","    12568.95","    12408.05","    12443.90","       28980340","         2710.71"
"10-Dec-2020","    12453.10","    12551.40","    12338.10","    12440.60","       23504136","         2311.95"
"11-Dec-2020","    12460.00","    12493.45","    12277.50","    12366.00","       20739748","         2181.07"
"14-Dec-2020","    12399.75","    12506.90","    12395.55","    12459.90","       39248885","         3617.35"
"15-Dec-2020","    12498.35","    12556.35","    12400.70","    12432.60","       31233483","         3137.47"
"16-Dec-2020","    12492.90","    12578.40","    12437.85","    12547.50","       22536320","         2357.22"
"17-Dec-2020","    12585.00","    12731.45","    12561.25","    12602.40","       30506593","         3416.44"
