"Date ","Open ","High ","Low ","Close ","Prev. Close ","Change ","% Change"
"02-Nov-2020","       24.7525","       25.9175","       24.2200","       25.2100","       24.7525","        0.4600","   1.85"
"03-Nov-2020","       25.2100","       25.3325","       22.9175","       24.2400","       25.2100","       -0.9700","  -3.85"
"04-Nov-2020","       24.2400","       24.2400","       20.6725","       23.2000","       24.2400","       -1.0400","  -4.29"
"05-Nov-2020","       23.2000","       23.2000","       19.9900","       20.9650","       23.2000","       -2.2400","  -9.63"
"06-Nov-2020","       20.9650","       20.9650","       19.2825","       20.4975","       20.9650","       -0.4700","  -2.23"
"09-Nov-2020","       20.4975","       21.0475","       17.5800","       20.1125","       20.4975","       -0.3900","  -1.88"
"10-Nov-2020","       20.1125","       21.8450","       19.8950","       21.5775","       20.1125","        1.4700","   7.28"
"11-Nov-2020","       21.5775","       22.3750","       18.9950","       22.0325","       21.5775","        0.4600","   2.11"
"12-Nov-2020","       22.0325","       22.0325","       19.7875","       20.6200","       22.0325","       -1.4100","  -6.41"
"13-Nov-2020","       20.6200","       29.5250","       19.5575","       19.7025","       20.6200","       -0.9200","  -4.45"
"14-Nov-2020","       19.7025","       19.7025","       16.1750","       19.1300","       19.7025","       -0.5700","  -2.91"
"17-Nov-2020","       19.1300","       20.4050","       18.4025","       19.8025","       19.1300","        0.6700","   3.52"
"18-Nov-2020","       19.8025","       19.8025","       15.7200","       19.1200","       19.8025","       -0.6800","  -3.45"
"19-Nov-2020","       19.1200","       19.9825","       16.3250","       19.5700","       19.1200","        0.4500","   2.35"
"20-Nov-2020","       19.5700","       19.8075","       16.9975","       19.6175","       19.5700","        0.0500","   0.24"
"23-Nov-2020","       19.6175","       20.8625","       16.9100","       20.7975","       19.6175","        1.1800","   6.02"
"24-Nov-2020","       20.7975","       22.0000","       20.0250","       21.0575","       20.7975","        0.2600","   1.25"
"25-Nov-2020","       21.0575","       23.4950","       20.6800","       23.1275","       21.0575","        2.0700","   9.83"
"26-Nov-2020","       23.1275","       23.1275","       19.4375","       20.0225","       23.1275","       -3.1100"," -13.43"
"27-Nov-2020","       20.0225","       21.2800","       17.6250","       19.8175","       20.0225","       -0.2100","  -1.02"
"01-Dec-2020","       19.8175","       21.2350","       19.2450","       20.1825","       19.8175","        0.3700","   1.84"
"02-Dec-2020","       20.1825","       20.5525","       17.9625","       19.9075","       20.1825","       -0.2800","  -1.36"
"03-Dec-2020","       19.9075","       19.9075","       17.7225","       19.0000","       19.9075","       -0.9100","  -4.56"
"04-Dec-2020","       19.0000","       19.0350","       16.5300","       18.0275","       19.0000","       -0.9700","  -5.12"
"07-Dec-2020","       18.0275","       18.3150","       16.9500","       18.0250","       18.0275","        0.0000","  -0.01"
"08-Dec-2020","       18.0250","       18.7950","       16.2675","       18.6175","       18.0250","        0.5900","   3.29"
"09-Dec-2020","       18.6175","       19.6300","       16.2200","       18.9200","       18.6175","        0.3000","   1.62"
"10-Dec-2020","       18.9200","       19.3850","       17.4225","       18.7125","       18.9200","       -0.2100","  -1.10"
"11-Dec-2020","       18.7125","       19.2850","       17.3625","       18.7900","       18.7125","        0.0800","   0.41"
"14-Dec-2020","       18.7900","       19.6425","       15.3275","       19.4025","       18.7900","        0.6100","   3.26"
"15-Dec-2020","       19.4025","       19.8275","       15.6925","       19.3450","       19.4025","       -0.0600","  -0.30"
"16-Dec-2020","       19.3450","       19.3975","       18.6075","       19.2000","       19.3450","       -0.1500","  -0.75"
"17-Dec-2020","       19.2000","       21.6225","       14.0525","       19.1575","       19.2000","       -0.0400","  -0.22"
